rank,artist,latestDate,snapshotDateCount,rolling3Status,rolling3ListenerDeltaPerDay,rolling3PlaycountDeltaPerDay,rolling3ListenerLogNormalized,rolling3PlaycountLogNormalized,rolling3PreviewPoint,rolling7Status,rolling7ListenerDeltaPerDay,rolling7PlaycountDeltaPerDay,rolling7ListenerLogNormalized,rolling7PlaycountLogNormalized,rolling7PreviewPoint,activeMode,rollingCombinedPreviewPoint,status
1,르세라핌,2026-09-22,44,ready,694.0,113056.0,100.0,92.6916,96.3458,ready,676.0,122290.8333,100.0,89.2635,94.6318,rolling3_50_rolling7_50,95.4888,ok
2,에스파,2026-09-22,44,ready,502.0,133866.5,80.8015,100.0,90.4008,ready,506.1667,157191.5,82.8219,100.0,91.4109,rolling3_50_rolling7_50,90.9059,ok
3,뉴진스,2026-09-22,44,ready,527.0,66153.5,83.6817,69.5109,76.5963,ready,512.3333,69301.5,83.5406,64.9764,74.2585,rolling3_50_rolling7_50,75.4274,ok
4,스트레이키즈,2026-09-22,44,ready,317.5,102793.0,53.6673,88.5752,71.1212,ready,321.5,111761.0,55.8955,85.4131,70.6543,rolling3_50_rolling7_50,70.8878,ok
5,투모로우바이투게더,2026-09-22,44,ready,264.5,93358.5,42.8598,84.411,63.6354,ready,261.1667,96509.5,43.577,79.1387,61.3578,rolling3_50_rolling7_50,62.4966,ok
6,에이티즈,2026-09-22,44,ready,273.5,51750.0,44.8393,58.8895,51.8644,ready,291.8333,57944.8333,50.1562,57.3227,53.7395,rolling3_50_rolling7_50,52.802,ok
7,아이브,2026-09-22,44,ready,274.0,32859.0,44.9474,39.2433,42.0953,ready,272.5,34123.3333,46.094,34.6791,40.3865,rolling3_50_rolling7_50,41.2409,ok
8,세븐틴,2026-09-22,44,ready,185.0,27131.0,21.7288,30.958,26.3434,ready,171.1667,28246.8333,18.5669,26.5968,22.5819,rolling3_50_rolling7_50,24.4627,ok
9,아이유,2026-09-22,44,ready,244.5,13262.5,38.2094,0.0,19.1047,ready,253.6667,15165.3333,41.8507,0.0,20.9254,rolling3_50_rolling7_50,20.0151,ok
10,보이넥스트도어,2026-09-22,44,ready,128.0,26159.0,0.0,29.3799,14.69,ready,125.0,28633.3333,0.0,27.178,13.589,rolling3_50_rolling7_50,14.1395,ok
