snapshotDate,checkedAt,artist,musicV2Point,rankedPlatformCount,version
2026-08-31,2026-08-31T23:28:47,뉴진스,48.8,3,fandex_music_chart_v2_current_presence_parallel_v1
2026-08-31,2026-08-31T23:28:47,르세라핌,39.8,3,fandex_music_chart_v2_current_presence_parallel_v1
2026-08-31,2026-08-31T23:28:47,보이넥스트도어,39.8,3,fandex_music_chart_v2_current_presence_parallel_v1
2026-08-31,2026-08-31T23:28:47,세븐틴,0.0,0,fandex_music_chart_v2_current_presence_parallel_v1
2026-08-31,2026-08-31T23:28:47,스트레이키즈,0.0,0,fandex_music_chart_v2_current_presence_parallel_v1
2026-08-31,2026-08-31T23:28:47,아이브,117.0,3,fandex_music_chart_v2_current_presence_parallel_v1
2026-08-31,2026-08-31T23:28:47,아이유,30.8,2,fandex_music_chart_v2_current_presence_parallel_v1
2026-08-31,2026-08-31T23:28:47,에스파,180.75,3,fandex_music_chart_v2_current_presence_parallel_v1
2026-08-31,2026-08-31T23:28:47,에이티즈,194.25,3,fandex_music_chart_v2_current_presence_parallel_v1
2026-08-31,2026-08-31T23:28:47,투모로우바이투게더,0.0,0,fandex_music_chart_v2_current_presence_parallel_v1
