snapshotDate,artist,query,lastfmName,listeners,playcount,collectedAt,status
2026-08-10,아이유,IU,IU,1115403,93541369,2026-08-10T00:00:00+09:00,ok
2026-08-10,에스파,aespa,aespa,1428740,296061927,2026-08-10T00:00:00+09:00,ok
2026-08-10,에이티즈,ATEEZ,ATEEZ,856297,230901612,2026-08-10T00:00:00+09:00,ok
2026-08-10,보이넥스트도어,BOYNEXTDOOR,BOYNEXTDOOR,395400,54725517,2026-08-10T00:00:00+09:00,ok
2026-08-10,아이브,IVE,IVE,1101259,169934566,2026-08-10T00:00:00+09:00,ok
2026-08-10,르세라핌,LE SSERAFIM,LE SSERAFIM,1810187,332122209,2026-08-10T00:00:00+09:00,ok
2026-08-10,뉴진스,NewJeans,NewJeans,1906281,347350616,2026-08-10T00:00:00+09:00,ok
2026-08-10,세븐틴,SEVENTEEN,Seventeen,986753,297122825,2026-08-10T00:00:00+09:00,ok
2026-08-10,스트레이키즈,Stray Kids,Stray Kids,1414838,511510445,2026-08-10T00:00:00+09:00,ok
2026-08-10,투모로우바이투게더,TOMORROW X TOGETHER,TOMORROW X TOGETHER,1284868,459057937,2026-08-10T00:00:00+09:00,ok
2026-08-11,아이유,IU,IU,1116391,93575570,2026-08-11T00:00:00+09:00,ok
2026-08-11,에스파,aespa,aespa,1431007,296584281,2026-08-11T00:00:00+09:00,ok
2026-08-11,에이티즈,ATEEZ,ATEEZ,857527,231155831,2026-08-11T00:00:00+09:00,ok
2026-08-11,보이넥스트도어,BOYNEXTDOOR,BOYNEXTDOOR,396075,54854306,2026-08-11T00:00:00+09:00,ok
2026-08-11,아이브,IVE,IVE,1102305,170074945,2026-08-11T00:00:00+09:00,ok
2026-08-11,르세라핌,LE SSERAFIM,LE SSERAFIM,1812597,332441172,2026-08-11T00:00:00+09:00,ok
2026-08-11,뉴진스,NewJeans,NewJeans,1908462,347598909,2026-08-11T00:00:00+09:00,ok
2026-08-11,세븐틴,SEVENTEEN,Seventeen,987604,297219290,2026-08-11T00:00:00+09:00,ok
2026-08-11,스트레이키즈,Stray Kids,Stray Kids,1416535,512416368,2026-08-11T00:00:00+09:00,ok
2026-08-11,투모로우바이투게더,TOMORROW X TOGETHER,TOMORROW X TOGETHER,1286032,459404583,2026-08-11T00:00:00+09:00,ok
