artist,previousDate,latestDate,daysBetween,listenerDelta,playcountDelta,listenerDeltaPerDay,playcountDeltaPerDay,status
아이유,2026-09-09,2026-09-10,1,185,11709,185.0,11709.0,delta_ready
에스파,2026-09-09,2026-09-10,1,576,134909,576.0,134909.0,delta_ready
에이티즈,2026-09-09,2026-09-10,1,293,62992,293.0,62992.0,delta_ready
보이넥스트도어,2026-09-09,2026-09-10,1,149,33956,149.0,33956.0,delta_ready
아이브,2026-09-09,2026-09-10,1,291,31987,291.0,31987.0,delta_ready
르세라핌,2026-09-09,2026-09-10,1,554,84137,554.0,84137.0,delta_ready
뉴진스,2026-09-09,2026-09-10,1,507,66229,507.0,66229.0,delta_ready
세븐틴,2026-09-09,2026-09-10,1,221,30249,221.0,30249.0,delta_ready
스트레이키즈,2026-09-09,2026-09-10,1,331,125938,331.0,125938.0,delta_ready
투모로우바이투게더,2026-09-09,2026-09-10,1,302,109125,302.0,109125.0,delta_ready
