rank,artist,previousDate,latestDate,daysBetween,listenerDeltaPerDay,playcountDeltaPerDay,listenerLogNormalized,playcountLogNormalized,lastfmGlobalInterestPreviewPoint,status
1,에스파,2026-08-19,2026-08-20,1,561.0,140392.0,84.0882,94.3789,89.23,preview_ready
2,르세라핌,2026-08-19,2026-08-20,1,683.0,84922.0,100.0,78.2369,89.12,preview_ready
3,뉴진스,2026-08-19,2026-08-20,1,583.0,63240.0,87.1983,68.771,77.98,preview_ready
4,스트레이키즈,2026-08-19,2026-08-20,1,395.0,167251.0,55.733,100.0,77.87,preview_ready
5,투모로우바이투게더,2026-08-19,2026-08-20,1,315.0,152692.0,37.4548,97.0756,67.27,preview_ready
6,에이티즈,2026-08-19,2026-08-20,1,337.0,62688.0,42.9061,68.4895,55.7,preview_ready
7,아이브,2026-08-19,2026-08-20,1,290.0,33460.0,30.7794,48.3303,39.55,preview_ready
8,보이넥스트도어,2026-08-19,2026-08-20,1,198.0,52776.0,0.0,62.9629,31.48,preview_ready
9,세븐틴,2026-08-19,2026-08-20,1,235.0,28438.0,13.8117,43.1085,28.46,preview_ready
10,아이유,2026-08-19,2026-08-20,1,208.0,7427.0,3.9711,0.0,1.99,preview_ready
